city,state_id,state_name
Lorain,OH,Ohio
Murfreesboro,TN,Tennessee
High Point,NC,North Carolina
Newport News,VA,Virginia
Rancho Cucamonga,CA,California
Hemet,CA,California
Santa Cruz,CA,California
Danbury,CT,Connecticut
Peoria,AZ,Arizona
Oceanside,CA,California
Elk Grove,CA,California
Pembroke Pines,FL,Florida
Vallejo,CA,California
Garden Grove,CA,California
Enterprise,NV,Nevada
Medford,OR,Oregon
Cary,NC,North Carolina
Marysville,WA,Washington
Corona,CA,California
Ocala,FL,Florida
Fredericksburg,VA,Virginia
Gainesville,GA,Georgia
Manchester,NH,New Hampshire
BayamÃ³n,PR,Puerto Rico
Champaign,IL,Illinois
Alexandria,VA,Virginia
Hayward,CA,California
Springfield,IL,Illinois
Lakewood,CO,Colorado
Lafayette,IN,Indiana
Frederick,MD,Maryland
Lake Charles,LA,Louisiana
Odessa,TX,Texas
Tuscaloosa,AL,Alabama
Warner Robins,GA,Georgia
Palmdale,CA,California
Hollywood,FL,Florida
Midland,TX,Texas
Leesburg,FL,Florida
Port Arthur,TX,Texas
Muskegon,MI,Michigan
Macon,GA,Georgia
Kansas City,KS,Kansas
Sunnyvale,CA,California
Pomona,CA,California
Escondido,CA,California
Pasadena,TX,Texas
New Bedford,MA,Massachusetts
Fairfield,CA,California
Naperville,IL,Illinois
Bellevue,WA,Washington
Binghamton,NY,New York
Elkhart,IN,Indiana
Topeka,KS,Kansas
Joliet,IL,Illinois
Beaumont,TX,Texas
Paterson,NJ,New Jersey
Merced,CA,California
Pueblo,CO,Colorado
Tyler,TX,Texas
Torrance,CA,California
Yuma,AZ,Arizona
Metairie,LA,Louisiana
Surprise,AZ,Arizona
Columbia,MO,Missouri
Athens,GA,Georgia
Roseville,CA,California
Thornton,CO,Colorado
Miramar,FL,Florida
Pasadena,CA,California
Mesquite,TX,Texas
Olathe,KS,Kansas
Santa Maria,CA,California
Houma,LA,Louisiana
Carrollton,TX,Texas
Grand Junction,CO,Colorado
Charleston,WV,West Virginia
Orange,CA,California
Fullerton,CA,California
Greeley,CO,Colorado
Carolina,PR,Puerto Rico
Las Cruces,NM,New Mexico
Panama City,FL,Florida
Harlingen,TX,Texas
West Valley City,UT,Utah
Hampton,VA,Virginia
Warren,MI,Michigan
Mauldin,SC,South Carolina
Bloomington,IL,Illinois
Coral Springs,FL,Florida
Round Rock,TX,Texas
Yakima,WA,Washington
Sterling Heights,MI,Michigan
Kent,WA,Washington
Burlington,NC,North Carolina
Bellingham,WA,Washington
Santa Clara,CA,California
Racine,WI,Wisconsin
Greenville,NC,North Carolina
Stamford,CT,Connecticut
Elizabeth,NJ,New Jersey
Johnson City,TN,Tennessee
Lynchburg,VA,Virginia
Simi Valley,CA,California
Fort Smith,AR,Arkansas
Kenosha,WI,Wisconsin
Norman,OK,Oklahoma
South Lyon,MI,Michigan
Boulder,CO,Colorado
Abilene,TX,Texas
Lehigh Acres,FL,Florida
Pearland,TX,Texas
Berkeley,CA,California
Richardson,TX,Texas
Redding,CA,California
Arvada,CO,Colorado
East Los Angeles,CA,California
St. George,UT,Utah
Billings,MT,Montana
Yuba City,CA,California
Rochester,MN,Minnesota
Leominster,MA,Massachusetts
Kingsport,TN,Tennessee
Duluth,MN,Minnesota
Rock Hill,SC,South Carolina
Gilroy,CA,California
Cambridge,MA,Massachusetts
Sugar Land,TX,Texas
Texas City,TX,Texas
Iowa City,IA,Iowa
Saginaw,MI,Michigan
Chico,CA,California
Dover,DE,Delaware
Clearwater,FL,Florida
Coeur d'Alene,ID,Idaho
Seaside,CA,California
Independence,MO,Missouri
West Jordan,UT,Utah
Brandon,FL,Florida
Bloomington,IN,Indiana
El Monte,CA,California
North Charleston,SC,South Carolina
Carlsbad,CA,California
St. Cloud,MN,Minnesota
Temecula,CA,California
Clovis,CA,California
Meridian,ID,Idaho
The Woodlands,TX,Texas
Ponce,PR,Puerto Rico
Westminster,CO,Colorado
Costa Mesa,CA,California
Monroe,LA,Louisiana
Utica,NY,New York
Pompano Beach,FL,Florida
West Palm Beach,FL,Florida
Waterloo,IA,Iowa
Everett,WA,Washington
El Centro,CA,California
Santa Fe,NM,New Mexico
Downey,CA,California
Spring Hill,FL,Florida
Lowell,MA,Massachusetts
Centennial,CO,Colorado
Elgin,IL,Illinois
Richmond,CA,California
Broken Arrow,OK,Oklahoma
Miami Gardens,FL,Florida
Bend,OR,Oregon
Burlington,VT,Vermont
Jurupa Valley,CA,California
Sandy Springs,GA,Georgia
Gresham,OR,Oregon
Lewisville,TX,Texas
Hillsboro,OR,Oregon
San Buenaventura,CA,California
Jacksonville,NC,North Carolina
Pottstown,PA,Pennsylvania
Inglewood,CA,California
League City,TX,Texas
Eau Claire,WI,Wisconsin
Turlock,CA,California
Temple,TX,Texas
Sioux City,IA,Iowa
Salisbury,MD,Maryland
Davie,FL,Florida
Daly City,CA,California
Highlands Ranch,CO,Colorado
Allen,TX,Texas
West Covina,CA,California
Sparks,NV,Nevada
Wichita Falls,TX,Texas
San Mateo,CA,California
Columbia,MD,Maryland
Norwalk,CA,California
Rialto,CA,California
Manteca,CA,California
Arden-Arcade,CA,California
El Cajon,CA,California
Burbank,CA,California
Longmont,CO,Colorado
Renton,WA,Washington
Vista,CA,California
Logan,UT,Utah
Prescott Valley,AZ,Arizona
Vacaville,CA,California
Edinburg,TX,Texas
Carmel,IN,Indiana
Spokane Valley,WA,Washington
San Angelo,TX,Texas
La Crosse,WI,Wisconsin
Idaho Falls,ID,Idaho
Holland,MI,Michigan
Charlottesville,VA,Virginia
Longview,TX,Texas
Tracy,CA,California
Boca Raton,FL,Florida
Lafayette,CO,Colorado
Lee's Summit,MO,Missouri
Rio Rancho,NM,New Mexico
South Fulton,GA,Georgia
Beaverton,OR,Oregon
Lawrence,KS,Kansas
Bismarck,ND,North Dakota
Orem,UT,Utah
Middletown,OH,Ohio
San Tan Valley,AZ,Arizona
San Marcos,CA,California
Sandy,UT,Utah
Federal Way,WA,Washington
Mandeville,LA,Louisiana
Hesperia,CA,California
Brockton,MA,Massachusetts
Compton,CA,California
Riverview,FL,Florida
Fishers,IN,Indiana
Sunrise,FL,Florida
Bowling Green,KY,Kentucky
Roswell,GA,Georgia
Menifee,CA,California
Plantation,FL,Florida
Dover,NH,New Hampshire
Quincy,MA,Massachusetts
Portsmouth,VA,Virginia
Chino,CA,California
Lynn,MA,Massachusetts
Edmond,OK,Oklahoma
Hanford,CA,California
Dearborn,MI,Michigan
Livonia,MI,Michigan
South Gate,CA,California
Vineland,NJ,New Jersey
Florence,SC,South Carolina
Portsmouth,NH,New Hampshire
Slidell,LA,Louisiana
Lawton,OK,Oklahoma
Kirkland,WA,Washington
Missoula,MT,Montana
Auburn,AL,Alabama
Rapid City,SD,South Dakota
Terre Haute,IN,Indiana
Suffolk,VA,Virginia
Blacksburg,VA,Virginia
Mount Pleasant,SC,South Carolina
Carson,CA,California
Conroe,TX,Texas
Alafaya,FL,Florida
Livermore,CA,California
Westminster,CA,California
Germantown,MD,Maryland
Santa Monica,CA,California
New Braunfels,TX,Texas
Fall River,MA,Massachusetts
Albany,GA,Georgia
Miami Beach,FL,Florida
Norwalk,CT,Connecticut
San Leandro,CA,California
O'Fallon,MO,Missouri
Newton,MA,Massachusetts
Muncie,IN,Indiana
Citrus Heights,CA,California
State College,PA,Pennsylvania
Town 'n' Country,FL,Florida
Decatur,IL,Illinois
Jackson,MI,Michigan
Fort Myers,FL,Florida
Goodyear,AZ,Arizona
Dalton,GA,Georgia
Bryan,TX,Texas
Waukegan,IL,Illinois
Hawthorne,CA,California
Anderson,IN,Indiana
Redwood City,CA,California
Hoover,AL,Alabama
Lake Forest,CA,California
Napa,CA,California
Whittier,CA,California
Clifton,NJ,New Jersey
Largo,FL,Florida
Bloomington,MN,Minnesota
Johns Creek,GA,Georgia
Newport Beach,CA,California
Mission,TX,Texas
Milpitas,CA,California
Troy,MI,Michigan
Madera,CA,California
Joplin,MO,Missouri
Chino Hills,CA,California
Alhambra,CA,California
Franklin,TN,Tennessee
Melbourne,FL,Florida
Port Huron,MI,Michigan
Springfield,OH,Ohio
Mountain View,CA,California
Zephyrhills,FL,Florida
St. Augustine,FL,Florida
Flagstaff,AZ,Arizona
Buena Park,CA,California
Pleasanton,CA,California
Silver Spring,MD,Maryland
Atascocita,TX,Texas
Westland,MI,Michigan
Auburn,WA,Washington
Cranston,RI,Rhode Island
Somerville,MA,Massachusetts
Folsom,CA,California
Springdale,AR,Arkansas
Deerfield Beach,FL,Florida
Warwick,RI,Rhode Island
Cicero,IL,Illinois
Farmington Hills,MI,Michigan
Newark,OH,Ohio
Williamsburg,VA,Virginia
Brooklyn Park,MN,Minnesota
Hattiesburg,MS,Mississippi
Alexandria,LA,Louisiana
Lawrence,MA,Massachusetts
Florence,AL,Alabama
Valdosta,GA,Georgia
Plymouth,MN,Minnesota
Buckeye,AZ,Arizona
Georgetown,TX,Texas
Cheyenne,WY,Wyoming
Cedar Park,TX,Texas
The Villages,FL,Florida
Kokomo,IN,Indiana
Tustin,CA,California
Lakewood,CA,California
Perris,CA,California
St. Joseph,MO,Missouri
Flower Mound,TX,Texas
Pharr,TX,Texas
Pine Hills,FL,Florida
Alton,IL,Illinois
Loveland,CO,Colorado
Boynton Beach,FL,Florida
New Rochelle,NY,New York
Anderson,SC,South Carolina
Jonesboro,AR,Arkansas
Lebanon,PA,Pennsylvania
Parma,OH,Ohio
Layton,UT,Utah
Elizabethtown,KY,Kentucky
Texarkana,TX,Texas
Alameda,CA,California
Kankakee,IL,Illinois
Watsonville,CA,California
Porterville,CA,California
Baytown,TX,Texas
Upland,CA,California
Davis,CA,California
Camarillo,CA,California
South Jordan,UT,Utah
Battle Creek,MI,Michigan
Bellflower,CA,California
San Marcos,TX,Texas
San Ramon,CA,California
Lake Jackson,TX,Texas
Bethlehem,PA,Pennsylvania
Wyoming,MI,Michigan
Oshkosh,WI,Wisconsin
Hammond,IN,Indiana
Waldorf,MD,Maryland
Missouri City,TX,Texas
Pasco,WA,Washington
Wheeling,WV,West Virginia
Kendall,FL,Florida
Baldwin Park,CA,California
Rancho Cordova,CA,California
Conway,AR,Arkansas
Gary,IN,Indiana
Altoona,PA,Pennsylvania
Lodi,CA,California
Arlington Heights,IL,Illinois
Bolingbrook,IL,Illinois
Rochester Hills,MI,Michigan
Winchester,VA,Virginia
Framingham,MA,Massachusetts
Hilton Head Island,SC,South Carolina
Centreville,VA,Virginia
Union City,CA,California
Owensboro,KY,Kentucky
Jackson,TN,Tennessee
Cleveland,TN,Tennessee
Wausau,WI,Wisconsin
Camden,NJ,New Jersey
Anniston,AL,Alabama
Evanston,IL,Illinois
Apple Valley,CA,California
Mansfield,OH,Ohio
Caguas,PR,Puerto Rico
Schaumburg,IL,Illinois
Pocatello,ID,Idaho
Woodbury,MN,Minnesota
Southfield,MI,Michigan
Ellicott City,MD,Maryland
Dale City,VA,Virginia
Maple Grove,MN,Minnesota
Pittsburg,CA,California
New Britain,CT,Connecticut
Morgantown,WV,West Virginia
Mansfield,TX,Texas
Hammond,LA,Louisiana
Dothan,AL,Alabama
Harrisonburg,VA,Virginia
Wenatchee,WA,Washington
Waukesha,WI,Wisconsin
Pawtucket,RI,Rhode Island
Redmond,WA,Washington
Lauderhill,FL,Florida
Sumter,SC,South Carolina
Redlands,CA,California
Daphne,AL,Alabama
Mount Vernon,WA,Washington
Weston,FL,Florida
St. Charles,MO,Missouri
Janesville,WI,Wisconsin
Sherman,TX,Texas
North Richland Hills,TX,Texas
Broomfield,CO,Colorado
El Paso de Robles,CA,California
Bristol,TN,Tennessee
Wilmington,DE,Delaware
Casas Adobes,AZ,Arizona
Walnut Creek,CA,California
Poinciana,FL,Florida
Lynwood,CA,California
Glen Burnie,MD,Maryland
Lehi,UT,Utah
Passaic,NJ,New Jersey
Homestead,FL,Florida
West Bend,WI,Wisconsin
Delray Beach,FL,Florida
Sheboygan,WI,Wisconsin
Lake Elsinore,CA,California
Daytona Beach,FL,Florida
Los Lunas,NM,New Mexico
Lima,OH,Ohio
Decatur,AL,Alabama
Rocklin,CA,California
Rogers,AR,Arkansas
Castle Rock,CO,Colorado
Hanover,PA,Pennsylvania
Bossier City,LA,Louisiana
Dubuque,IA,Iowa
Rockville,MD,Maryland
Victoria,TX,Texas
Saratoga Springs,NY,New York
Guaynabo,PR,Puerto Rico
Gaithersburg,MD,Maryland
Union City,NJ,New Jersey
Ames,IA,Iowa
West Des Moines,IA,Iowa
South San Francisco,CA,California
Yorba Linda,CA,California
Casper,WY,Wyoming
Palatine,IL,Illinois
Corvallis,OR,Oregon
Ankeny,IA,Iowa
Mount Vernon,NY,New York
Rowlett,TX,Texas
Lakeville,MN,Minnesota
Alpharetta,GA,Georgia
Longview,WA,Washington
DeKalb,IL,Illinois
Petaluma,CA,California
Redondo Beach,CA,California
Tamarac,FL,Florida
Laguna Niguel,CA,California
Eagan,MN,Minnesota
Kenner,LA,Louisiana
Bay City,MI,Michigan
North Little Rock,AR,Arkansas
Sammamish,WA,Washington
Shawnee,KS,Kansas
Jupiter,FL,Florida
Doral,FL,Florida
Florence-Graham,CA,California
Carbondale,IL,Illinois
Blaine,MN,Minnesota
Weirton,WV,West Virginia
Tulare,CA,California
Wellington,FL,Florida
Pflugerville,TX,Texas
Palo Alto,CA,California
Schenectady,NY,New York
Great Falls,MT,Montana
Michigan City,IN,Indiana
Bayonne,NJ,New Jersey
Eden Prairie,MN,Minnesota
Port Orange,FL,Florida
Dublin,CA,California
Grand Forks,ND,North Dakota
Noblesville,IN,Indiana
San Clemente,CA,California
Brentwood,CA,California
Carmichael,CA,California
East Orange,NJ,New Jersey
Eastvale,CA,California
Chapel Hill,NC,North Carolina
Rocky Mount,NC,North Carolina
Haverhill,MA,Massachusetts
Beloit,WI,Wisconsin
Glens Falls,NY,New York
Brentwood,NY,New York
Fairbanks,AK,Alaska
Springfield,OR,Oregon
Bethesda,MD,Maryland
Johnstown,PA,Pennsylvania
Dundalk,MD,Maryland
Castro Valley,CA,California
Coon Rapids,MN,Minnesota
Elmira,NY,New York
Mankato,MN,Minnesota
Albany,OR,Oregon
North Miami,FL,Florida
Encinitas,CA,California
Skokie,IL,Illinois
Leander,TX,Texas
Parkersburg,WV,West Virginia
Waltham,MA,Massachusetts
Port Charlotte,FL,Florida
Palm Harbor,FL,Florida
San Luis Obispo,CA,California
Sebring,FL,Florida
Council Bluffs,IA,Iowa
Hamilton,OH,Ohio
Moore,OK,Oklahoma
Pico Rivera,CA,California
Casa Grande,AZ,Arizona
Monessen,PA,Pennsylvania
Montebello,CA,California
Rome,GA,Georgia
The Hammocks,FL,Florida
Millcreek,UT,Utah
Sanford,FL,Florida
National City,CA,California
MayagÃ¼ez,PR,Puerto Rico
Burnsville,MN,Minnesota
Coconut Creek,FL,Florida
Morristown,TN,Tennessee
Reston,VA,Virginia
Lakewood,WA,Washington
Spring,TX,Texas
Gadsden,AL,Alabama
Taylor,MI,Michigan
Novi,MI,Michigan
Marietta,GA,Georgia
Hot Springs,AR,Arkansas
Woodland,CA,California
Fountainebleau,FL,Florida
La Habra,CA,California
Malden,MA,Massachusetts
South Whittier,CA,California
Commerce City,CO,Colorado
South Hill,WA,Washington
Bristol,CT,Connecticut
Columbus,IN,Indiana
West Allis,WI,Wisconsin
Taylorsville,UT,Utah
Bangor,ME,Maine
Monterey Park,CA,California
Greenwood,IN,Indiana
Bartlett,TN,Tennessee
Bradenton,FL,Florida
Pontiac,MI,Michigan
Staunton,VA,Virginia
Meriden,CT,Connecticut
Gardena,CA,California
Apex,NC,North Carolina
Royal Oak,MI,Michigan
Cupertino,CA,California
La Mesa,CA,California
Benton Harbor,MI,Michigan
St. Clair Shores,MI,Michigan
Des Plaines,IL,Illinois
Lewiston,ME,Maine
Margate,FL,Florida
Midland,MI,Michigan
Carson City,NV,Nevada
Bowie,MD,Maryland
Middletown,NY,New York
Caldwell,ID,Idaho
San Rafael,CA,California
Richland,WA,Washington
St. Peters,MO,Missouri
Wesley Chapel,FL,Florida
Hendersonville,TN,Tennessee
White Plains,NY,New York
Huntersville,NC,North Carolina
Santee,CA,California
Jefferson City,MO,Missouri
Beckley,WV,West Virginia
Arcadia,CA,California
Titusville,FL,Florida
Cartersville,GA,Georgia
Walla Walla,WA,Washington
Orland Park,IL,Illinois
Towson,MD,Maryland
Weymouth,MA,Massachusetts
Parker,CO,Colorado
Palm Beach Gardens,FL,Florida
Bozeman,MT,Montana
East Stroudsburg,PA,Pennsylvania
Huntington Park,CA,California
Taunton,MA,Massachusetts
Midwest City,OK,Oklahoma
Medford,MA,Massachusetts
Goldsboro,NC,North Carolina
Euless,TX,Texas
Manhattan,KS,Kansas
Shoreline,WA,Washington
Lake Havasu City,AZ,Arizona
Smyrna,GA,Georgia
Cape Girardeau,MO,Missouri
Tamiami,FL,Florida
Kendale Lakes,FL,Florida
Grants Pass,OR,Oregon
Blue Springs,MO,Missouri
Southaven,MS,Mississippi
Tinley Park,IL,Illinois
Diamond Bar,CA,California
Pittsfield,MA,Massachusetts
Eagle Pass,TX,Texas
New Brunswick,NJ,New Jersey
Lenexa,KS,Kansas
Hazleton,PA,Pennsylvania
Twin Falls,ID,Idaho
Brookhaven,GA,Georgia
Novato,CA,California
Tigard,OR,Oregon
Highland,CA,California
Fountain Valley,CA,California
Dearborn Heights,MI,Michigan
Grapevine,TX,Texas
Fond du Lac,WI,Wisconsin
Hacienda Heights,CA,California
Ithaca,NY,New York
Apple Valley,MN,Minnesota
Chicopee,MA,Massachusetts
Oak Lawn,IL,Illinois
Cathedral City,CA,California
Delano,CA,California
Bentonville,AR,Arkansas
Stonecrest,GA,Georgia
Kettering,OH,Ohio
Colton,CA,California
Kingston,NY,New York
West Haven,CT,Connecticut
St. Cloud,FL,Florida
Normal,IL,Illinois
Berwyn,IL,Illinois
Milford,CT,Connecticut
Aloha,OR,Oregon
Arroyo Grande,CA,California
Minnetonka,MN,Minnesota
Rosemead,CA,California
Paramount,CA,California
Yucaipa,CA,California
Brunswick,GA,Georgia
Williamsport,PA,Pennsylvania
Elyria,OH,Ohio
Leesburg,VA,Virginia
Mount Prospect,IL,Illinois
Pinellas Park,FL,Florida
Bellevue,NE,Nebraska
West Sacramento,CA,California
Apopka,FL,Florida
Lewiston,ID,Idaho
Grand Island,NE,Nebraska
Palm Desert,CA,California
Milford city ,CT,Connecticut
Watertown,NY,New York
Little Elm,TX,Texas
Chambersburg,PA,Pennsylvania
Revere,MA,Massachusetts
Peabody,MA,Massachusetts
Wylie,TX,Texas
Beaufort,SC,South Carolina
Aspen Hill,MD,Maryland
DeSoto,TX,Texas
Helena,MT,Montana
Edina,MN,Minnesota
Wheaton,IL,Illinois
West New York,NJ,New Jersey
Hoboken,NJ,New Jersey
Lacey,WA,Washington
Summerville,SC,South Carolina
Oak Park,IL,Illinois
Maricopa,AZ,Arizona
Lompoc,CA,California
Kentwood,MI,Michigan
Levittown,PA,Pennsylvania
Sierra Vista,AZ,Arizona
Levittown,NY,New York
Madison,AL,Alabama
Smyrna,TN,Tennessee
Glendora,CA,California
Burien,WA,Washington
Perth Amboy,NJ,New Jersey
Herriman,UT,Utah
Farmington,NM,New Mexico
New Bern,NC,North Carolina
Placentia,CA,California
Hinesville,GA,Georgia
Beaumont,CA,California
Collierville,TN,Tennessee
West Lafayette,IN,Indiana
Florissant,MO,Missouri
Hoffman Estates,IL,Illinois
Queen Creek,AZ,Arizona
Aliso Viejo,CA,California
Kannapolis,NC,North Carolina
Methuen Town,MA,Massachusetts
Sahuarita,AZ,Arizona
Traverse City,MI,Michigan
Severn,MD,Maryland
Catalina Foothills,AZ,Arizona
Galveston,TX,Texas
Country Club,FL,Florida
Cookeville,TN,Tennessee
Mishawaka,IN,Indiana
Rowland Heights,CA,California
Plainfield,NJ,New Jersey
Bullhead City,AZ,Arizona
Stillwater,OK,Oklahoma
Forney,TX,Texas
Wheaton,MD,Maryland
Azusa,CA,California
North Bethesda,MD,Maryland
Cerritos,CA,California
Ashburn,VA,Virginia
Bloomsburg,PA,Pennsylvania
Morehead City,NC,North Carolina
Coral Gables,FL,Florida
Enid,OK,Oklahoma
Lakewood,OH,Ohio
Oroville,CA,California
Wilson,NC,North Carolina
Lawrence,IN,Indiana
Portage,MI,Michigan
Minot,ND,North Dakota
Dunwoody,GA,Georgia
Poway,CA,California
San Jacinto,CA,California
Troy,NY,New York
Newark,CA,California
Cuyahoga Falls,OH,Ohio
Downers Grove,IL,Illinois
Bedford,TX,Texas
Reedley,CA,California
Dublin,OH,Ohio
Marana,AZ,Arizona
Cypress,CA,California
Hollister,CA,California
Murray,UT,Utah
Roswell,NM,New Mexico
Pascagoula,MS,Mississippi
Tuckahoe,VA,Virginia
Ceres,CA,California
St. Louis Park,MN,Minnesota
Rio Grande City,TX,Texas
Draper,UT,Utah
Palm Springs,CA,California
Paducah,KY,Kentucky
Findlay,OH,Ohio
University,FL,Florida
Bel Air South,MD,Maryland
Antelope,CA,California
Kyle,TX,Texas
Monroe,MI,Michigan
Lincoln,CA,California
Ocoee,FL,Florida
