Description,Category,Tok-Cat,Sub_Category,Tok-Sub
Taco Bell,Food,,FastFood_Restaurants,
Wendy's,Food,,FastFood_Restaurants,
Burger King,Food,,FastFood_Restaurants,
Dunkin',Food,,FastFood_Restaurants,
Subway,Food,,FastFood_Restaurants,
Domino's,Food,,FastFood_Restaurants,
Chipotle Mexican Grill,Food,,FastFood_Restaurants,
Sonic Drive-In,Food,,FastFood_Restaurants,
Pizza Hut,Food,,FastFood_Restaurants,
Panera Bread,Food,,FastFood_Restaurants,
KFC,Food,,FastFood_Restaurants,
Popeyes Louisiana Kitchen,Food,,FastFood_Restaurants,
Arby's,Food,,FastFood_Restaurants,
Dairy Queen,Food,,FastFood_Restaurants,
Little Caesars,Food,,FastFood_Restaurants,
Panda Express,Food,,FastFood_Restaurants,
Jack in the Box,Food,,FastFood_Restaurants,
Olive Garden,Food,,FastFood_Restaurants,
Papa John's,Food,,FastFood_Restaurants,
Buffalo Wild Wings,Food,,FastFood_Restaurants,
Applebee's,Food,,FastFood_Restaurants,
Chili's Grill & Bar,Food,,FastFood_Restaurants,
Whataburger,Food,,FastFood_Restaurants,
Texas Roadhouse,Food,,FastFood_Restaurants,
IHOP,Food,,FastFood_Restaurants,
Outback Steakhouse,Food,,FastFood_Restaurants,
Zaxby's,Food,,FastFood_Restaurants,
Culver's,Food,,FastFood_Restaurants,
Jimmy John's Gourmet Sandwiches,Food,,FastFood_Restaurants,
Wingstop,Food,,FastFood_Restaurants,
Hardee's,Food,,FastFood_Restaurants,
Cracker Barrel,Food,,FastFood_Restaurants,
Red Lobster,Food,,FastFood_Restaurants,
Denny's,Food,,FastFood_Restaurants,
Raising Cane's Chicken Fingers,Food,,FastFood_Restaurants,
Five Guys,Food,,FastFood_Restaurants,
Jersey Mike's Subs,Food,,FastFood_Restaurants,
LongHorn Steakhouse,Food,,FastFood_Restaurants,
The Cheesecake Factory,Food,,FastFood_Restaurants,
Bojangles,Food,,FastFood_Restaurants,
Carl's Jr.,Food,,FastFood_Restaurants,
In-N-Out Burger,Food,,FastFood_Restaurants,
Red Robin,Food,,FastFood_Restaurants,
El Pollo Loco,Food,,FastFood_Restaurants,
Del Taco,Food,,FastFood_Restaurants,
Firehouse Subs,Food,,FastFood_Restaurants,
Qdoba Mexican Eats,Food,,FastFood_Restaurants,
Papa Murphy's Pizza,Food,,FastFood_Restaurants,
BJ's Restaurant & Brewhouse,Food,,FastFood_Restaurants,
Steak 'n Shake,Food,,FastFood_Restaurants,
Marco's Pizza,Food,,FastFood_Restaurants,
Church's Chicken,Food,,FastFood_Restaurants,
Waffle House,Food,,FastFood_Restaurants,
Krispy Kreme,Food,,FastFood_Restaurants,
Tropical Smoothie Cafe,Food,,FastFood_Restaurants,
TGI Fridays,Food,,FastFood_Restaurants,
Golden Corral,Food,,FastFood_Restaurants,
Freddy's Frozen Custard & Steakburgers,Food,,FastFood_Restaurants,
McAlister's Deli,Food,,FastFood_Restaurants,
Baskin-Robbins,Food,,FastFood_Restaurants,
Hooters,Food,,FastFood_Restaurants,
P.F. Chang's,Food,,FastFood_Restaurants,
Dutch Bros Coffee,Food,,FastFood_Restaurants,
White Castle,Food,,FastFood_Restaurants,
Moe's Southwest Grill,Food,,FastFood_Restaurants,
Checkers Drive-In Restaurants,Food,,FastFood_Restaurants,
Captain D's Seafood Kitchen,Food,,FastFood_Restaurants,
Shake Shack,Food,,FastFood_Restaurants,
Carrabba's Italian Grill,Food,,FastFood_Restaurants,
Tim Hortons,Food,,FastFood_Restaurants,
Cheddar's Scratch Kitchen,Food,,FastFood_Restaurants,
Smoothie King,Food,,FastFood_Restaurants,
Noodles & Company,Food,,FastFood_Restaurants,
The Habit Burger Grill,Food,,FastFood_Restaurants,
MOD Pizza,Food,,FastFood_Restaurants,
Jack's,Food,,FastFood_Restaurants,
Portillo's,Food,,FastFood_Restaurants,
Hungry Howie's Pizza,Food,,FastFood_Restaurants,
Bob Evans,Food,,FastFood_Restaurants,
Round Table Pizza,Food,,FastFood_Restaurants,
Charleys Philly Steaks,Food,,FastFood_Restaurants,
Ruth's Chris Steak House,Food,,FastFood_Restaurants,
Yard House,Food,,FastFood_Restaurants,
Einstein Bros. Bagels,Food,,FastFood_Restaurants,
First Watch,Food,,FastFood_Restaurants,
California Pizza Kitchen,Food,,FastFood_Restaurants,
Jamba,Food,,FastFood_Restaurants,
Jason's Deli,Food,,FastFood_Restaurants,
Bonefish Grill,Food,,FastFood_Restaurants,
Taco John's,Food,,FastFood_Restaurants,
Boston Market,Food,,FastFood_Restaurants,
Pollo Tropical,Food,,FastFood_Restaurants,
Auntie Anne's,Food,,FastFood_Restaurants,
Cold Stone Creamery,Food,,FastFood_Restaurants,
Jet's Pizza,Food,,FastFood_Restaurants,
Maggiano's Little Italy,Food,,FastFood_Restaurants,
The Capital Grille,Food,,FastFood_Restaurants,
tropical fruit,Food,,Groceries,
whole milk,Food,,Groceries,
pip fruit,Food,,Groceries,
rolls/buns,Food,,Groceries,
pot plants,Home,,Yard_Garden,
citrus fruit,Food,,Groceries,
beef,Food,,Groceries,
frankfurter,Food,,Groceries,
chicken,Food,,Groceries,
butter,Food,,Groceries,
fruit/vegetable juice,Food,,Groceries,
packaged fruit/vegetables,Food,,Groceries,
chocolate,Food,,Groceries,
butter milk,Food,,Groceries,
bottled water,Food,,Groceries,
yogurt,Food,,Groceries,
sausage,Food,,Groceries,
brown bread,Food,,Groceries,
hamburger meat,Food,,Groceries,
root vegetables,Food,,Groceries,
pork,Food,,Groceries,
pastry,Food,,Groceries,
canned beer,Food,,Groceries,
berries,Food,,Groceries,
coffee,Food,,Groceries,
ham,Food,,Groceries,
turkey,Food,,Groceries,
curd cheese,Food,,Groceries,
red/blush wine,Food,,Groceries,
frozen potato products,Food,,Groceries,
flour,Food,,Groceries,
sugar,Food,,Groceries,
frozen meals,Food,,Groceries,
herbs,Food,,Groceries,
soda,Food,,Groceries,
detergent,Home,,Laundry,
grapes,Food,,Groceries,
processed cheese,Food,,Groceries,
fish,Food,,Groceries,
sparkling wine,Food,,Groceries,
curd,Food,,Groceries,
pasta,Food,,Groceries,
popcorn,Food,,Groceries,
beverages,Food,,Groceries,
dessert,Food,,Groceries,
specialty chocolate,Food,,Groceries,
condensed milk,Food,,Groceries,
cleaner,Food,,Groceries,
meat,Food,,Groceries,
ice cream,Food,,Groceries,
hard cheese,Food,,Groceries,
cream cheese ,Food,,Groceries,
pickled vegetables,Food,,Groceries,
UHT-milk,Food,,Groceries,
candy,Food,,Groceries,
onions,Food,,Groceries,
hair spray,Food,,Groceries,
photo/film,Electronics,,Camera,
domestic eggs,Food,,Groceries,
margarine,Food,,Groceries,
shopping bags,Home,,Kitchen,
salt,Food,,Groceries,
oil,Food,,Groceries,
whipped/sour cream,Food,,Groceries,
frozen vegetables,Food,,Groceries,
sliced cheese,Food,,Groceries,
dish cleaner,Home,,Kitchen,
baking powder,Food,,Groceries,
specialty cheese,Food,,Groceries,
salty snack,Food,,Groceries,
Instant food products,Food,,Groceries,
white bread,Food,,Groceries,
cling film/bags,Home,,Kitchen,
soap,Food,,Groceries,
frozen chicken,Food,,Groceries,
spread cheese,Food,,Groceries,
frozen dessert,Food,,Groceries,
vinegar,Food,,Groceries,
nuts/prunes,Food,,Groceries,
potato products,Food,,Groceries,
frozen fish,Food,,Groceries,
artif. sweetener,Food,,Groceries,
light bulbs,Home,,Decor,
canned vegetables,Food,,Groceries,
chewing gum,Food,,Groceries,
canned fish,Food,,Groceries,
cookware,Home,,Kitchen,
semi-finished bread,Food,,Groceries,
cat food,Pets,,Pet_Food,
bathroom cleaner,Food,,Groceries,
prosecco,Food,,Groceries,
liver loaf,Food,,Groceries,
canned fruit,Food,,Groceries,
frozen fruits,Food,,Groceries,
baby cosmetics,Food,,Groceries,
spices,Food,,Groceries,
napkins,Food,,Groceries,
waffles,Food,,Groceries,
sauces,Food,,Groceries,
chocolate marshmallow,Food,,Groceries,
long life bakery product,Food,,Groceries,
bags,Home,,Kitchen,
sweet spreads,Food,,Groceries,
soups,Food,,Groceries,
mustard,Food,,Groceries,
specialty fat,Food,,Groceries,
instant coffee,Food,,Groceries,
organic sausage,Food,,Groceries,
soft cheese,Food,,Groceries,
mayonnaise,Food,,Groceries,
dental care,Home,,Home Essentials,
kitchen towels,Home,,Kitchen,
flower soil/fertilizer,Home,,Yard_Garden,
cereals,Food,,Groceries,
meat spreads,Food,,Groceries,
dishes,Home,,Kitchen,
candles,Home,,Home Essentials,
whisky,Food,,Groceries,
tidbits,Food,,Groceries,
cooking chocolate,Food,,Groceries,
abrasive cleaner,Home,,Home Essentials,
syrup,Food,,Groceries,
ketchup,Food,,Groceries,
cream,Food,,Groceries,
skin care,Personal_Care,,Lotion,
rubbing alcohol,Home,,Home Essentials,
nut snack,Food,,Groceries,
cocoa drinks,Food,,Groceries,
organic products,Food,,Groceries,
cake bar,Food,,Groceries,
honey,Food,,Groceries,
jam,Food,,Groceries,
kitchen utensil,Home,,Kitchen,
rice,Food,,Groceries,
tea,Food,,Groceries,
salad dressing,Food,,Groceries,
specialty vegetables,Food,,Groceries,
pudding powder,Food,,Groceries,
ready soups,Food,,Groceries,
make up remover,Personal_Care,,Makeup,
toilet cleaner,Home,,Home Essentials,
Walmart,Food,,Groceries,
Costco WHS,Food,,Groceries,
Costco Gas,Auto,,Gas,
Costco Wholesale,Food,,Groceries,
The Home Depot,Home,,Maintenance,
The Kroger Co.,Food,,Groceries,
Lowe's Companies,Home,,Tools,
Apple Stores / iTunes,Utilities,,Phone,
Mint Mobile,Utilities,,Phone,
Publix Super Markets,Food,,Groceries,
Best Buy,Electronics,,Other,
Aldi,Food,,Groceries,
H.E. Butt Grocery,Food,,Groceries,
Ace Hardware,Home,,Maintenance,
Macy's,Food,,Groceries,
7-Eleven,Auto,,Gas,
AT&T Wireless,Utilities,,Phone,
Verizon Wireless,Utilities,,Phone,
Ross Stores,Clothes,,Clothes,
Kohl's,Clothes,,Clothes,
Dell Technologies,Electronics,,Computer,
Gap,Clothes,,Clothes,
Nordstrom,Clothes,,Clothes,
O’Reilly Auto Parts,Auto,,Maintenance,
AutoZone,Auto,,Maintenance,
Dick's Sporting Goods,Entertainment,,Sports_Outdoors,
Wayfair,Home,,Furniture_Appliances,
Wegmans Food Market,Food,,Groceries,
J.C. Penney Company,Clothes,,Clothes,
WinCo Foods,Food,,Groceries,
Good Neighbor Pharmacy,Medical,,Perscriptions,
Ulta Beauty,Personal_Care,,Makeup,
PetSmart,Pets,,Pet_Food,
Bass Pro,Entertainment,,Sports_Outdoors,
Bath & Body Works,Home,,Home Essentials,
Southeastern Grocers,Food,,Groceries,
Academy Sports,Entertainment,,Sports_Outdoors,
Hobby Lobby Stores,Home,,Decor,
Bed Bath & Beyond,Home,,Home Essentials,
Signet Jewelers,Clothes,,Jewelry,
Foot Locker,Clothes,,Shoes,
Sprouts Farmers Market,Food,,Groceries,
Sephora (LVMH),Personal_Care,,Makeup,
Ikea North America Services,Home,,Decor,
Discount Tire,Auto,,Maintenance,
Camping World,Entertainment,,Sports_Outdoors,
Petco,Pets,,Pet_Food,
Victoria's Secret,Clothes,,Clothes,
Advance Auto,Auto,,Maintenance,
Harbor Freight Tools,Home,,Maintenance,
Exxon Mobil Corporation,Auto,,Gas,
American Eagle Outfitters,Clothes,,Clothes,
Lululemon,Clothes,,Clothes,
Shell Oil Company,Auto,,Gas,
Urban Outfitters,Clothes,,Clothes,
Barnes & Noble,Entertainment,,Books,
State Farm,Auto,,Insurance,
Progressive,Auto,,Insurance,
Allstate,Auto,,Insurance,
USAA,Auto,,Insurance,
Liberty Mutal,Auto,,Insurance,
Farmers Insurance,Auto,,Insurance,
Nationwide,Auto,,Insurance,
American Family,Auto,,Insurance,
AAA Insurance Auto Club Exchange,Auto,,Insurance,
Kemper,Auto,,Insurance,
DMV (Division of Motor Vehicles),Auto,,Fees,
harry potter halfblood prince harry potter jk rowlingmary grandpr,Entertainment,,Books,
harry potter order phoenix harry potter jk rowlingmary grandpr,Entertainment,,Books,
harry potter chamber secrets harry potter jk rowling,Entertainment,,Books,
harry potter prisoner azkaban harry potter jk rowlingmary grandpr,Entertainment,,Books,
harry potter boxed books harry potter jk rowlingmary grandpr,Entertainment,,Books,
unauthorized harry potter book seven news halfblood prince analysis speculation frederick zimmerman,Entertainment,,Books,
harry potter collection harry potter jk rowling,Entertainment,,Books,
ultimate hitchhikers guide five complete novels one story hitchhikers guide galaxy douglas adams,Entertainment,,Books,
ultimate hitchhikers guide galaxy hitchhikers guide galaxy douglas adams,Entertainment,,Books,
hitchhikers guide galaxy hitchhikers guide galaxy douglas adams,Entertainment,,Books,
hitchhikers guide galaxy hitchhikers guide galaxy douglas adamsstephen fry,Entertainment,,Books,
ultimate hitchhikers guide hitchhikers guide galaxy douglas adams,Entertainment,,Books,
short history nearly everything bill bryson,Entertainment,,Books,
bill brysons african diary bill bryson,Entertainment,,Books,
brysons dictionary troublesome words writers guide getting right bill bryson,Entertainment,,Books,
sunburned country bill bryson,Entertainment,,Books,
im stranger notes returning america twenty years away bill bryson,Entertainment,,Books,
lost continent travels small town america bill bryson,Entertainment,,Books,
neither travels europe bill bryson,Entertainment,,Books,
notes small island bill bryson,Entertainment,,Books,
mother tongue english got way bill bryson,Entertainment,,Books,
jrr tolkien book boxed hobbit lord rings jrr tolkien,Entertainment,,Books,
lord rings lord rings jrr tolkien,Entertainment,,Books,
fellowship ring lord rings jrr tolkien,Entertainment,,Books,
lord rings lord rings jrr tolkienalan lee,Entertainment,,Books,
lord rings weapons warfare chris smithchristopher leerichard taylor,Entertainment,,Books,
lord rings complete visual companion jude fisher,Entertainment,,Books,
agile web development rails pragmatic guide dave thomasdavid heinemeier hanssonleon breedtmike clarkthomas fuchsandreas schwarz,Entertainment,,Books,
hatchet brians saga gary paulsen,Entertainment,,Books,
hatchet guide using hatchet classroom donna ickesedward scirankokeith vasconcelles,Entertainment,,Books,
guts true stories behind hatchet brian books gary paulsen,Entertainment,,Books,
molly hatchet best molly hatchet,Entertainment,,Books,
hatchet jobs writings contemporary fiction dale peck,Entertainment,,Books,
simply beautiful beaded jewelry heidi boyd,Entertainment,,Books,
always enough gods miraculous provision among poorest children earth heidi bakerrolland baker,Entertainment,,Books,
mapping big picture integrating curriculum assessment heidi hayes jacobs,Entertainment,,Books,
heidi heidi johanna spyribeverly clearyangelo rinaldi,Entertainment,,Books,
getting results curriculum mapping heidi hayes jacobs,Entertainment,,Books,
theres always enough miraculous move god mozambique rolland bakerheidi baker,Entertainment,,Books,
expect first year expect heidi murkoffsharon mazelarlene eisenbergsandee hathawaymark widome,Entertainment,,Books,
players handbook ultimate guide dating relationships heidi fleisslibby keatinge,Entertainment,,Books,
simply beautiful beading quick easy projects heidi boyd,Entertainment,,Books,
god emperor dune dune chronicles frank herbert,Entertainment,,Books,
chapterhouse dune dune chronicles frank herbert,Entertainment,,Books,
dune messiah dune chronicles frank herbert,Entertainment,,Books,
dreamer dune biography frank herbert brian herbert,Entertainment,,Books,
heretics dune dune chronicles frank herbert,Entertainment,,Books,
road dune frank herbertbrian herbertkevin anderson,Entertainment,,Books,
heretics dune dune chronicles frank herbert,Entertainment,,Books,
lord rings art fellowship ring gary russell,Entertainment,,Books,
power one power one bryce courtenay,Entertainment,,Books,
power one one person one rule one month john maxwellstephen gravesthomas addington,Entertainment,,Books,
power hour business life mastery one hour week dave lakhani,Entertainment,,Books,
power one solo play playwrights actors directors louis catron,Entertainment,,Books,
buy sell profit ebay kickstart homebased business thirty days adam ginsberg,Entertainment,,Books,
ebay dummies marsha collier,Entertainment,,Books,
sell ebay get definitive guide product sourcing ebay beyond chris maltalisa suttora,Entertainment,,Books,
starting ebay business dummies marsha collier,Entertainment,,Books,
ebay top simplified tips tricks julia wilkinson,Entertainment,,Books,
ebay timesaving techniques dummies marsha collier,Entertainment,,Books,
ebay business allinone desk reference dummies marsha collier,Entertainment,,Books,
ruby cookbook lucas carlsonleonard richardson,Entertainment,,Books,
ruby anns home trailer park cookbook ruby ann boxcar,Entertainment,,Books,
ruby anns home trailer park bbqin cookbook ruby ann boxcar,Entertainment,,Books,
rails cookbook recipes rapid web development ruby rob orsini,Entertainment,,Books,
anna karenina leo tolstoyrichard pevearlarissa volokhonsky,Entertainment,,Books,
anna karenina leo tolstoydavid magarshackpriscilla meyer,Entertainment,,Books,
anna karenina leo tolstoyrichard pevearlarissa volokhonskyjohn bayley,Entertainment,,Books,
cliffsnotes tolstoys anna karenina marianne sturmanleo tolstoy,Entertainment,,Books,
anna karenina leo tolstoyamy mandelkerconstance garnett,Entertainment,,Books,
anna karenina leo tolstoylouise maudeaylmer maude,Entertainment,,Books,
anna karenina leo tolstoyconstance garnettamy mandelker,Entertainment,,Books,
dinner anna karenina gloria goldreich,Entertainment,,Books,
tolstoy anna karenina anthony thorlby,Entertainment,,Books,
untouchable mulk raj anandem forster,Entertainment,,Books,
untouchable john banville,Entertainment,,Books,
untouchables eliot nessoscar fraley,Entertainment,,Books,
untouchables familys triumphant journey caste system modern india narendra jadhav,Entertainment,,Books,
dalit black untaouchables india vt rajshekaryn kly,Entertainment,,Books,
growing untouchable india dalit autobiography vasant moongail omvedteleanor zelliot,Entertainment,,Books,
evidencebased social work skills book barry cournoyer,Entertainment,,Books,
wrinkle time guide using wrinkle time classroom john carratellopatty carratellotheresa wright,Entertainment,,Books,
wrinkles time george smootkeay davidson,Entertainment,,Books,
wrinkle time related readings wrinkle time quintet madeleine lengle,Entertainment,,Books,
literature circle guide wrinkle time tara maccarthy,Entertainment,,Books,
una arruga en el tiempo wrinkle time madeleine lengle,Entertainment,,Books,
long shadow morland dynasty cynthia harrodeagles,Entertainment,,Books,
long shadow inspector ian rutledge charles todd,Entertainment,,Books,
long way round chasing shadows across world ewan mcgregorcharley boormanrobert uhlig,Entertainment,,Books,
shadow summer long price quartet daniel abraham,Entertainment,,Books,
new hope dead hoke mosely charles willefordjames lee burke,Entertainment,,Books,
sideswipe hoke moseley novel charles willefordlawrence block,Entertainment,,Books,
miami blues hoke moseley charles willefordelmore leonard,Entertainment,,Books,
burnt orange heresy vintage crimeblack lizard charles willeford,Entertainment,,Books,
charlotte simmons tom wolfe,Entertainment,,Books,
poetry young people edward lear edward learlaura huliskabeithedward mendelson,Entertainment,,Books,
puffin book nonsense verse quentin blake,Entertainment,,Books,
henry miller writing henry millerthomas moore,Entertainment,,Books,
quiet days clichy henry miller,Entertainment,,Books,
tropic cancer henry millerji nl,Entertainment,,Books,
tropic capricorn henry miller,Entertainment,,Books,
nexus rosy crucifixion henry miller,Entertainment,,Books,
sexus rosy crucifixion henry miller,Entertainment,,Books,
airconditioned nightmare henry miller,Entertainment,,Books,
portrait lady henry jamespatricia crick,Entertainment,,Books,
portrait lady henry jamesgabriel brownsteinmary cregan,Entertainment,,Books,
writing marguerite duras,Entertainment,,Books,
war marguerite durasbarbara bray,Entertainment,,Books,
ravishing lol stein marguerite durasrichard seever,Entertainment,,Books,
love letters kahlil gibransuheil bushruisalma alkuzbari,Entertainment,,Books,
kahlil gibran life world jean gibran kahlil gibran,Entertainment,,Books,
beloved reflections path heart kahlil gibranjohn walbridgerobin waterfield,Entertainment,,Books,
jesus son man kahlil gibran,Entertainment,,Books,
broken wings kahlil gibran anthony rizcallah ferris,Entertainment,,Books,
sand foam kahlil gibran,Entertainment,,Books,
treasure island robert louis stevenson,Entertainment,,Books,
treasure island robert louis stevensonscott mckowen,Entertainment,,Books,
years lynchings ralph ginzburg,Entertainment,,Books,
cien aos de soledad gabriel garca mrquez,Entertainment,,Books,
beyond zebra dr seuss,Entertainment,,Books,
wedding clause debbie raleigh,Entertainment,,Books,
zebra wall kevin henkes,Entertainment,,Books,
el perfume historia de un asesino patrick sskind,Entertainment,,Books,
door summer robert heinlein,Entertainment,,Books,
stranger strange land robert heinlein,Entertainment,,Books,
sail beyond sunset robert heinlein,Entertainment,,Books,
job comedy justice robert heinlein,Entertainment,,Books,
time stars heinleins juveniles robert heinlein,Entertainment,,Books,
long dark teatime soul dirk gently douglas adams,Entertainment,,Books,
salmon doubt dirk gently douglas adams,Entertainment,,Books,
wish official biography douglas adams nick webb,Entertainment,,Books,
douglas adamss starship titanic terry jones,Entertainment,,Books,
salmon doubt hitchhiking galaxy one last time douglas adamschristopher cerf,Entertainment,,Books,
