Description,Category,Sub_Category
Chipotle Mexican Grill,Food,FastFood_Restaurants
Church's Chicken,Food,FastFood_Restaurants
Dairy Queen,Food,FastFood_Restaurants
Domino's Pizza,Food,FastFood_Restaurants
Dunkin' Donuts,Food,FastFood_Restaurants
Five Guys,Food,FastFood_Restaurants
In-N-Out Burger,Food,FastFood_Restaurants
Jack in the Box,Food,FastFood_Restaurants
KFC,Food,FastFood_Restaurants
Krispy Kreme,Food,FastFood_Restaurants
Little Caesars,Food,FastFood_Restaurants
McDonald's,Food,FastFood_Restaurants
MOD Pizza,Food,FastFood_Restaurants
Panda Express,Food,FastFood_Restaurants
Papa John's,Food,FastFood_Restaurants
Pizza Hut,Food,FastFood_Restaurants
Popeyes Louisiana Kitchen,Food,FastFood_Restaurants
Raising Cane's Chicken Fingers,Food,FastFood_Restaurants
Shake Shack,Food,FastFood_Restaurants
Sonic Drive-In,Food,FastFood_Restaurants
Subway,Food,FastFood_Restaurants
Taco Bell,Food,FastFood_Restaurants
Wendy's,Food,FastFood_Restaurants
409 All-Purpose Cleaner,Home,Home_Essentials
Affresh Washer Cleaner,Home,Home_Essentials
Ajax Cleaner,Home,Home_Essentials
Air Wick Air Fresheners,Home,Home_Essentials
Arm & Hammer Baking Soda,Home,Home_Essentials
Bar Keepers Friend Cleanser,Home,Home_Essentials
Bissell Carpet Cleaners,Home,Home_Essentials
Bon Ami Cleanser,Home,Home_Essentials
Bounty Paper Towels,Home,Home_Essentials
Bounce Dryer Sheets,Home,Home_Essentials
Cascade Dishwashing Detergent,Home,Home_Essentials
Charmin Toilet Paper,Home,Home_Essentials
Clorox Bleach,Home,Home_Essentials
Clorox Disinfecting Wipes,Home,Home_Essentials
Clorox Toilet Bowl Cleaner,Home,Home_Essentials
Comet Cleanser,Home,Home_Essentials
Dawn Dishwashing Detergent,Home,Home_Essentials
Drano Drain Cleaner,Home,Home_Essentials
Downy Fabric Softener,Home,Home_Essentials
Dreft Laundry Detergent,Home,Home_Essentials
Dryel At-Home Dry Cleaning Kits,Home,Home_Essentials
Duracell Batteries,Home,Home_Essentials
Febreze Air Fresheners,Home,Home_Essentials
Finish Dishwashing Detergent,Home,Home_Essentials
Formula 409 All-Purpose Cleaner,Home,Home_Essentials
Gain Laundry Detergent,Home,Home_Essentials
Goo Gone Stain Remover,Home,Home_Essentials
Green Works All-Purpose Cleaner,Home,Home_Essentials
Hoover Vacuum Cleaners,Home,Home_Essentials
"Kaboom Shower, Tub & Tile Cleaner",Home,Home_Essentials
Lemi Shine Dishwashing Detergent,Home,Home_Essentials
Lysol Disinfecting Wipes,Home,Home_Essentials
Magic Eraser Cleaning Pads,Home,Home_Essentials
Method All-Purpose Cleaner,Home,Home_Essentials
Microban 24 Hour Sanitizing Spray,Home,Home_Essentials
Mrs. Meyer's Clean Day All-Purpose Cleaner,Home,Home_Essentials
Murphy Oil Soap,Home,Home_Essentials
O-Cedar Mops and Brooms,Home,Home_Essentials
OxiClean Stain Remover,Home,Home_Essentials
Pine-Sol All-Purpose Cleaner,Home,Home_Essentials
Pledge Furniture Polish,Home,Home_Essentials
Purell Hand Sanitizer,Home,Home_Essentials
Resolve Carpet Cleaner,Home,Home_Essentials
Rid-X Septic Tank Treatment,Home,Home_Essentials
Rubbermaid Storage Containers,Home,Home_Essentials
Rug Doctor Carpet Cleaners,Home,Home_Essentials
S.O.S. Steel Wool Pads,Home,Home_Essentials
Scotch-Brite Sponges,Home,Home_Essentials
Scrubbing Bubbles Bathroom Cleaner,Home,Home_Essentials
Seventh Generation All-Purpose Cleaner,Home,Home_Essentials
Shout Stain Remover,Home,Home_Essentials
Simple Green All-Purpose Cleaner,Home,Home_Essentials
Soft Scrub Cleanser,Home,Home_Essentials
Spot Shot Carpet Stain Remover,Home,Home_Essentials
Sprayway Glass Cleaner,Home,Home_Essentials
Swiffer Cleaning System,Home,Home_Essentials
Tilex Mold & Mildew Remover,Home,Home_Essentials
Tide Laundry Detergent,Home,Home_Essentials
Tilex Shower Cleaner,Home,Home_Essentials
Windex Glass Cleaner,Home,Home_Essentials
Woolite Laundry Detergent,Home,Home_Essentials
Zep All-Purpose Cleaner,Home,Home_Essentials
Blender,Home,Kitchen
Can opener,Home,Kitchen
Coffee maker,Home,Kitchen
"Cooking utensils (spatulas, spoons, tongs, etc.)",Home,Kitchen
Cutting board,Home,Kitchen
Dish rack,Home,Kitchen
Dish towels,Home,Kitchen
Dish soap,Home,Kitchen
Dishwasher detergent,Home,Kitchen
Dutch oven,Home,Kitchen
Electric kettle,Home,Kitchen
Food processor,Home,Kitchen
Frying pan,Home,Kitchen
Garbage can,Home,Kitchen
"Glassware (glasses, mugs, etc.)",Home,Kitchen
Hand mixer,Home,Kitchen
Ice cube trays,Home,Kitchen
Instant Pot,Home,Kitchen
Juicer,Home,Kitchen
Kitchen towels,Home,Kitchen
Knife set,Home,Kitchen
Measuring cups and spoons,Home,Kitchen
Microwave,Home,Kitchen
Mixing bowls,Home,Kitchen
Muffin tin,Home,Kitchen
Non-stick cooking spray,Home,Kitchen
Oven mitts,Home,Kitchen
Parchment paper,Home,Kitchen
Pasta strainer,Home,Kitchen
Peeler,Home,Kitchen
Pitcher,Home,Kitchen
Plastic wrap,Home,Kitchen
Pots and pans,Home,Kitchen
Pressure cooker,Home,Kitchen
Rice cooker,Home,Kitchen
Rolling pin,Home,Kitchen
Salad spinner,Home,Kitchen
Salt and pepper shakers,Home,Kitchen
Sauté pan,Home,Kitchen
Scale,Home,Kitchen
Serving platters,Home,Kitchen
Silicone baking mats,Home,Kitchen
"Silverware (forks, knives, spoons)",Home,Kitchen
Slow cooker,Home,Kitchen
Spatula,Home,Kitchen
Spice rack,Home,Kitchen
Sponge,Home,Kitchen
Springform pan,Home,Kitchen
Stockpot,Home,Kitchen
Toaster,Home,Kitchen
Toaster oven,Home,Kitchen
Trash bags,Home,Kitchen
Vegetable peeler,Home,Kitchen
Whisk,Home,Kitchen
Aluminum foil,Home,Kitchen
Baking cups,Home,Kitchen
Baking sheets,Home,Kitchen
Bread box,Home,Kitchen
Butter dish,Home,Kitchen
Cake pan,Home,Kitchen
Casserole dish,Home,Kitchen
Cheese grater,Home,Kitchen
Citrus juicer,Home,Kitchen
Colander,Home,Kitchen
Cookie cutters,Home,Kitchen
Cookie sheets,Home,Kitchen
Cooling rack,Home,Kitchen
Corn holders,Home,Kitchen
Cream dispenser,Home,Kitchen
Cupcake pan,Home,Kitchen
"Dinnerware (plates, bowls)",Home,Kitchen
Egg timer,Home,Kitchen
Espresso machine,Home,Kitchen
Flour sifter,Home,Kitchen
Fondue pot,Home,Kitchen
Food chopper,Home,Kitchen
Food storage containers,Home,Kitchen
Fruit bowl,Home,Kitchen
Gravy boat,Home,Kitchen
Ice cream scoop,Home,Kitchen
Instant-read thermometer,Home,Kitchen
Jar opener,Home,Kitchen
Knife sharpener,Home,Kitchen
Lemon squeezer,Home,Kitchen
Meat grinder,Home,Kitchen
Meat thermometer,Home,Kitchen
Milk frother,Home,Kitchen
Muffin pan,Home,Kitchen
Nutcracker,Home,Kitchen
Oil mister,Home,Kitchen
Pancake griddle,Home,Kitchen
Pastry bag,Home,Kitchen
Pastry brush,Home,Kitchen
Pizza cutter,Home,Kitchen
Ramekins,Home,Kitchen
Roasting pan,Home,Kitchen
Salad tongs,Home,Kitchen
Saucepan,Home,Kitchen
Tea kettle,Home,Kitchen
Nintendo,Electronics,Gaming
Sony PlayStation,Electronics,Gaming
Microsoft Xbox,Electronics,Gaming
EA (Electronic Arts),Electronics,Gaming
Activision Blizzard,Electronics,Gaming
Ubisoft,Electronics,Gaming
Rockstar Games,Electronics,Gaming
Valve Corporation,Electronics,Gaming
Bethesda Softworks,Electronics,Gaming
Square Enix,Electronics,Gaming
Konami,Electronics,Gaming
Capcom,Electronics,Gaming
Bandai Namco,Electronics,Gaming
Sega,Electronics,Gaming
2K Games,Electronics,Gaming
Epic Games,Electronics,Gaming
Riot Games,Electronics,Gaming
CD Projekt,Electronics,Gaming
Telltale Games,Electronics,Gaming
BioWare,Electronics,Gaming
Adjustable wrench (Crescent),Home,Tools
Allen wrench set (Craftsman),Home,Tools
Angle grinder (DeWalt),Home,Tools
Auto darkening welding helmet (Lincoln Electric),Home,Tools
Bench vise (Wilton),Home,Tools
Bolt cutters (Klein Tools),Home,Tools
Brad nailer (Hitachi),Home,Tools
Cable ties (3M),Home,Tools
C-clamp (Bessey),Home,Tools
Caulking gun (Ryobi),Home,Tools
Circular saw (Makita),Home,Tools
Clamps (Irwin Tools),Home,Tools
Claw hammer (Estwing),Home,Tools
Combination square (Swanson Tool),Home,Tools
Cordless drill (Milwaukee),Home,Tools
Crowfoot wrench set (Sunex Tools),Home,Tools
Cutting pliers (Klein Tools),Home,Tools
Digital caliper (Mitutoyo),Home,Tools
Disc sander (Jet),Home,Tools
Drill bits (Bosch),Home,Tools
Duct tape (3M),Home,Tools
Electrical tape (3M),Home,Tools
File set (Nicholson),Home,Tools
Finish nailer (Senco),Home,Tools
Flare nut wrench set (GearWrench),Home,Tools
Flashlight (Streamlight),Home,Tools
Framing hammer (Stiletto),Home,Tools
Grease gun (Lincoln Industrial),Home,Tools
Hack saw (Lenox Tools),Home,Tools
Hacksaw blades (Irwin Tools),Home,Tools
Handheld vacuum (Dyson),Home,Tools
Heat gun (Wagner),Home,Tools
Hex key set (Bondhus),Home,Tools
Hole saw (Milwaukee),Home,Tools
Impact driver (Dewalt),Home,Tools
Impact wrench (Snap-On),Home,Tools
Jigsaw (Bosch),Home,Tools
Job site radio (DeWalt),Home,Tools
Jointer (Jet),Home,Tools
Leather work gloves (Wells Lamont),Home,Tools
Levels (Stabila),Home,Tools
Locking pliers (Vise-Grip),Home,Tools
Magnetic screwdriver set (Klein Tools),Home,Tools
Mallet (Stiletto),Home,Tools
Measuring tape (Stanley),Home,Tools
Metal chop saw (Evolution Power Tools),Home,Tools
Metric socket set (Craftsman),Home,Tools
Multimeter (Fluke),Home,Tools
Needle nose pliers (Channellock),Home,Tools
Oil filter wrench (Lisle),Home,Tools
Oscillating multi-tool (Dremel),Home,Tools
Paddle bit set (Irwin Tools),Home,Tools
Paint brushes (Purdy),Home,Tools
Paint sprayer (Graco),Home,Tools
Phillips screwdriver (Klein Tools),Home,Tools
Pipe wrench (Ridgid),Home,Tools
Plunge router (Bosch),Home,Tools
Pocket knife (Buck Knives),Home,Tools
Polisher (Meguiar's),Home,Tools
Pry bar (Stanley),Home,Tools
Quick release ratchet (Craftsman),Home,Tools
Random orbit sander (Bosch),Home,Tools
Reciprocating saw (Milwaukee),Home,Tools
Retaining ring pliers (Knipex),Home,Tools
Rivet gun (Astro Pneumatic Tool),Home,Tools
Rolling toolbox (Husky),Home,Tools
Rotary tool (Dremel),Home,Tools
Rubber mallet (Tekton),Home,Tools
Safety glasses (3M),Home,Tools
Safety gloves (Mechanix Wear),Home,Tools
Sander (Porter-Cable),Home,Tools
Screw extractor set (Irwin Tools),Home,Tools
Screwdriver set (Craftsman),Home,Tools
Shop vacuum (Ridgid),Home,Tools
Side cutters (Knipex),Home,Tools
Socket set (Snap-On),Home,Tools
Soldering iron (Weller),Home,Tools
Staple gun (Arrow),Home,Tools
Steel ruler (Starrett),Home,Tools
Stud finder (Zircon),Home,Tools
Tap and die set (Irwin Tools),Home,Tools
Tape measure (Stanley),Home,Tools
Torque wrench (Crafts,Home,Tools
Yarn,Entertainment,Arts_Crafts
Wood beads,Entertainment,Arts_Crafts
Scalloped scissors,Entertainment,Arts_Crafts
Scrapbook paper,Entertainment,Arts_Crafts
Scrapbooking scissors,Entertainment,Arts_Crafts
Sewing machine,Entertainment,Arts_Crafts
Sewing needles,Entertainment,Arts_Crafts
Sewing thread,Entertainment,Arts_Crafts
Silk flowers,Entertainment,Arts_Crafts
Silk ribbon,Entertainment,Arts_Crafts
Sketchbooks,Entertainment,Arts_Crafts
Spray paint,Entertainment,Arts_Crafts
Stained glass supplies,Entertainment,Arts_Crafts
Stamp pads,Entertainment,Arts_Crafts
Stencils,Entertainment,Arts_Crafts
String,Entertainment,Arts_Crafts
T-shirt transfer paper,Entertainment,Arts_Crafts
Tassels,Entertainment,Arts_Crafts
Tissue paper,Entertainment,Arts_Crafts
Watercolor paper,Entertainment,Arts_Crafts
Wax paper,Entertainment,Arts_Crafts
Paint markers,Entertainment,Arts_Crafts
Paint pens,Entertainment,Arts_Crafts
Paper cutter,Entertainment,Arts_Crafts
Paper flowers,Entertainment,Arts_Crafts
Paper mache,Entertainment,Arts_Crafts
Paper punches,Entertainment,Arts_Crafts
Parchment paper,Entertainment,Arts_Crafts
Pastels,Entertainment,Arts_Crafts
Pearl beads,Entertainment,Arts_Crafts
Pipe cleaners,Entertainment,Arts_Crafts
Pom-poms,Entertainment,Arts_Crafts
Polymer clay,Entertainment,Arts_Crafts
Pottery wheel,Entertainment,Arts_Crafts
Quilling paper,Entertainment,Arts_Crafts
Quilting fabric,Entertainment,Arts_Crafts
Ribbon,Entertainment,Arts_Crafts
Rickrack,Entertainment,Arts_Crafts
Rotary cutter,Entertainment,Arts_Crafts
Rubber bands,Entertainment,Arts_Crafts
Rubber stamps,Entertainment,Arts_Crafts
Metal stamping kit,Entertainment,Arts_Crafts
Mod Podge,Entertainment,Arts_Crafts
Needle-nose pliers,Entertainment,Arts_Crafts
Needlepoint kit,Entertainment,Arts_Crafts
Oil pastels,Entertainment,Arts_Crafts
Origami paper,Entertainment,Arts_Crafts
Knitting needles,Entertainment,Arts_Crafts
Lace,Entertainment,Arts_Crafts
Laminator,Entertainment,Arts_Crafts
Leather cord,Entertainment,Arts_Crafts
Looms,Entertainment,Arts_Crafts
Jigsaw puzzle,Entertainment,Games
Blank canvas,Entertainment,Arts_Crafts
Blunt scissors,Entertainment,Arts_Crafts
Bookbinding supplies,Entertainment,Arts_Crafts
Bristle brushes,Entertainment,Arts_Crafts
Buttons,Entertainment,Arts_Crafts
Calligraphy pens,Entertainment,Arts_Crafts
Cardboard,Entertainment,Arts_Crafts
Cardstock paper,Entertainment,Arts_Crafts
Chalk,Entertainment,Arts_Crafts
Charcoal pencils,Entertainment,Arts_Crafts
Chenille stems,Entertainment,Arts_Crafts
Clay,Entertainment,Arts_Crafts
Clothespins,Entertainment,Arts_Crafts
Colored pencils,Entertainment,Arts_Crafts
Construction paper,Entertainment,Arts_Crafts
Cotton balls,Entertainment,Arts_Crafts
Craft glue,Entertainment,Arts_Crafts
Craft scissors,Entertainment,Arts_Crafts
Craft sticks,Entertainment,Arts_Crafts
Craft wire,Entertainment,Arts_Crafts
Crochet hooks,Entertainment,Arts_Crafts
Cutting mat,Entertainment,Arts_Crafts
Decoupage glue,Entertainment,Arts_Crafts
Decorative paper,Entertainment,Arts_Crafts
Decorative tape,Entertainment,Arts_Crafts
Duct tape,Entertainment,Arts_Crafts
Embroidery floss,Entertainment,Arts_Crafts
Embroidery hoop,Entertainment,Arts_Crafts
Embroidery needles,Entertainment,Arts_Crafts
Fabric paint,Entertainment,Arts_Crafts
Fabric scissors,Entertainment,Arts_Crafts
Fabric tape,Entertainment,Arts_Crafts
Felting needles,Entertainment,Arts_Crafts
Foam brushes,Entertainment,Arts_Crafts
Foam sheets,Entertainment,Arts_Crafts
Glitter,Entertainment,Arts_Crafts
Glue gun,Entertainment,Arts_Crafts
Glue sticks,Entertainment,Arts_Crafts
Gold leaf,Entertainment,Arts_Crafts
Graphite pencils,Entertainment,Arts_Crafts
Heat gun,Entertainment,Arts_Crafts
Hot fix rhinestones,Entertainment,Arts_Crafts
Iron-on transfers,Entertainment,Arts_Crafts
Jewelry pliers,Entertainment,Arts_Crafts
AT&T,Utilities,Phone
Verizon,Utilities,Phone
T-Mobile,Utilities,Phone
Sprint,Utilities,Phone
Cricket Wireless,Utilities,Phone
Boost Mobile,Utilities,Phone
Metro by T-Mobile,Utilities,Phone
US Cellular,Utilities,Phone
TracFone,Utilities,Phone
Straight Talk,Utilities,Phone
Consumer Cellular,Utilities,Phone
Republic Wireless,Utilities,Phone
Ting,Utilities,Phone
Google Fi,Utilities,Phone
Xfinity Mobile,Utilities,Phone
Mint Mobile,Utilities,Phone
H2O Wireless,Utilities,Phone
Simple Mobile,Utilities,Phone
Total Wireless,Utilities,Phone
Visible Wireless,Utilities,Phone
Duke Energy,Utilities,Gas_Power
Exelon Corporation,Utilities,Gas_Power
NextEra Energy,Utilities,Gas_Power
American Electric Power (AEP),Utilities,Gas_Power
Southern Company,Utilities,Gas_Power
Dominion Energy,Utilities,Gas_Power
Xcel Energy,Utilities,Gas_Power
Entergy,Utilities,Gas_Power
PPL Corporation,Utilities,Gas_Power
DTE Energy,Utilities,Gas_Power
National Grid,Utilities,Gas_Power
Eversource Energy,Utilities,Gas_Power
FirstEnergy,Utilities,Gas_Power
CenterPoint Energy,Utilities,Gas_Power
Public Service Enterprise Group (PSEG),Utilities,Gas_Power
Consolidated Edison,Utilities,Gas_Power
PacifiCorp,Utilities,Gas_Power
Avangrid,Utilities,Gas_Power
NV Energy,Utilities,Gas_Power
OGE Energy,Utilities,Gas_Power
Ameren Corporation,Utilities,Gas_Power
Alliant Energy,Utilities,Gas_Power
Black Hills Energy,Utilities,Gas_Power
The AES Corporation,Utilities,Gas_Power
Evergy,Utilities,Gas_Power
Edison International,Utilities,Gas_Power
El Paso Electric,Utilities,Gas_Power
Gulf Power,Utilities,Gas_Power
Idaho Power,Utilities,Gas_Power
LG&E and KU Energy,Utilities,Gas_Power
MidAmerican Energy Company,Utilities,Gas_Power
National Fuel Gas Company,Utilities,Gas_Power
New Jersey Resources,Utilities,Gas_Power
New York State Electric & Gas Corporation (NYSEG),Utilities,Gas_Power
NiSource,Utilities,Gas_Power
NorthWestern Energy,Utilities,Gas_Power
One Gas,Utilities,Gas_Power
Otter Tail Power Company,Utilities,Gas_Power
Peoples Gas,Utilities,Gas_Power
Piedmont Natural Gas,Utilities,Gas_Power
Portland General Electric (PGE),Utilities,Gas_Power
Puget Sound Energy (PSE),Utilities,Gas_Power
Sempra Energy,Utilities,Gas_Power
Southwest Gas Corporation,Utilities,Gas_Power
Spire Inc.,Utilities,Gas_Power
Unitil Corporation,Utilities,Gas_Power
UGI Corporation,Utilities,Gas_Power
UniSource Energy Services,Utilities,Gas_Power
WEC Energy Group,Utilities,Gas_Power
Wisconsin Public Service Corporation,Utilities,Gas_Power
"""To Kill a Mockingbird"" by Harper Lee",Entertainment,Books
"""The Great Gatsby"" by F. Scott Fitzgerald",Entertainment,Books
"""The Catcher in the Rye"" by J.D. Salinger",Entertainment,Books
"""1984"" by George Orwell",Entertainment,Books
"""The Bible""",Entertainment,Books
"""The Lord of the Rings"" by J.R.R. Tolkien",Entertainment,Books
"""The Hobbit"" by J.R.R. Tolkien",Entertainment,Books
"""Pride and Prejudice"" by Jane Austen",Entertainment,Books
"""Little Women"" by Louisa May Alcott",Entertainment,Books
"""The Adventures of Huckleberry Finn"" by Mark Twain",Entertainment,Books
"""The Adventures of Tom Sawyer"" by Mark Twain",Entertainment,Books
"""The Chronicles of Narnia"" by C.S. Lewis",Entertainment,Books
"""The Cat in the Hat"" by Dr. Seuss",Entertainment,Books
"""Charlotte's Web"" by E.B. White",Entertainment,Books
"""Winnie-the-Pooh"" by A.A. Milne",Entertainment,Books
"""Alice's Adventures in Wonderland"" by Lewis Carroll",Entertainment,Books
"""The Grapes of Wrath"" by John Steinbeck",Entertainment,Books
"""Of Mice and Men"" by John Steinbeck",Entertainment,Books
"""The Color Purple"" by Alice Walker",Entertainment,Books
"""The Diary of a Young Girl"" by Anne Frank",Entertainment,Books
"""The Outsiders"" by S.E. Hinton",Entertainment,Books
"""Gone with the Wind"" by Margaret Mitchell",Entertainment,Books
"""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams",Entertainment,Books
"""The Harry Potter Series"" by J.K. Rowling",Entertainment,Books
"""The Hunger Games"" by Suzanne Collins",Entertainment,Books
"""Twilight"" by Stephanie Meyer",Entertainment,Books
"""The Da Vinci Code"" by Dan Brown",Entertainment,Books
"""The Girl with the Dragon Tattoo"" by Stieg Larsson",Entertainment,Books
"""The Girl on the Train"" by Paula Hawkins",Entertainment,Books
"""Fifty Shades of Grey"" by E.L. James",Entertainment,Books
"""The Fault in Our Stars"" by John Green",Entertainment,Books
"""The Alchemist"" by Paulo Coelho",Entertainment,Books
"""One Hundred Years of Solitude"" by Gabriel Garcia Marquez",Entertainment,Books
"""Love in the Time of Cholera"" by Gabriel Garcia Marquez",Entertainment,Books
"""A Song of Ice and Fire Series"" by George R.R. Martin",Entertainment,Books
"""The Shining"" by Stephen King",Entertainment,Books
"""The Stand"" by Stephen King",Entertainment,Books
"""It"" by Stephen King",Entertainment,Books
"""The Dark Tower Series"" by Stephen King",Entertainment,Books
"""The Girl Who Kicked the Hornet's Nest"" by Stieg Larsson",Entertainment,Books
"""The Girl Who Played with Fire"" by Stieg Larsson",Entertainment,Books
"""The Help"" by Kathryn Stockett",Entertainment,Books
"""The Immortal Life of Henrietta Lacks"" by Rebecca Skloot",Entertainment,Books
"""The Kite Runner"" by Khaled Hosseini",Entertainment,Books
"""A Thousand Splendid Suns"" by Khaled Hosseini",Entertainment,Books
"""The Joy Luck Club"" by Amy Tan",Entertainment,Books
"""The Lovely Bones"" by Alice Sebold",Entertainment,Books
"""The Devil Wears Prada"" by Lauren Weisberger",Entertainment,Books
"""The Time Traveler's Wife"" by Audrey Niffenegger",Entertainment,Books
"""The Book Thief"" by Markus Zusak",Entertainment,Books
"""The Secret Life of Bees"" by Sue Monk Kidd",Entertainment,Books
"""Eat, Pray, Love"" by Elizabeth Gilbert",Entertainment,Books
"""Bridget Jones's Diary"" by Helen Fielding",Entertainment,Books
"""Atonement"" by Ian McEwan",Entertainment,Books
"""The Picture of Dorian Gray"" by Oscar Wilde",Entertainment,Books
Maybelline Great Lash Mascara,Personal_Care,Makeup
L'Oreal Paris Voluminous Mascara,Personal_Care,Makeup
MAC Lipstick,Personal_Care,Makeup
NARS Orgasm Blush,Personal_Care,Makeup
Urban Decay Naked Palette,Personal_Care,Makeup
Estée Lauder Double Wear Foundation,Personal_Care,Makeup
CoverGirl LashBlast Mascara,Personal_Care,Makeup
Revlon ColorStay Foundation,Personal_Care,Makeup
Benefit Hoola Bronzer,Personal_Care,Makeup
Anastasia Beverly Hills Dipbrow Pomade,Personal_Care,Makeup
Clinique Dramatically Different Moisturizing Lotion,Personal_Care,Makeup
Laura Mercier Translucent Loose Setting Powder,Personal_Care,Makeup
Too Faced Better Than Sex Mascara,Personal_Care,Makeup
Tarte Shape Tape Concealer,Personal_Care,Makeup
Kat Von D Tattoo Liner,Personal_Care,Makeup
Fenty Beauty Pro Filt'r Soft Matte Longwear Foundation,Personal_Care,Makeup
NYX Soft Matte Lip Cream,Personal_Care,Makeup
Huda Beauty Desert Dusk Eyeshadow Palette,Personal_Care,Makeup
Maybelline Instant Age Rewind Eraser Dark Circles Concealer,Personal_Care,Makeup
Benefit They're Real! Mascara,Personal_Care,Makeup
Becca Shimmering Skin Perfector,Personal_Care,Makeup
Smashbox Photo Finish Foundation Primer,Personal_Care,Makeup
L'Oreal Paris True Match Foundation,Personal_Care,Makeup
Giorgio Armani Luminous Silk Foundation,Personal_Care,Makeup
Morphe Brushes Jaclyn Hill Eyeshadow Palette,Personal_Care,Makeup
MAC Studio Fix Fluid Foundation,Personal_Care,Makeup
Too Faced Sweet Peach Eyeshadow Palette,Personal_Care,Makeup
Milk Makeup Kush Mascara,Personal_Care,Makeup
IT Cosmetics Your Skin But Better CC+ Cream,Personal_Care,Makeup
Cover FX Custom Enhancer Drops,Personal_Care,Makeup
Glossier Boy Brow,Personal_Care,Makeup
ColourPop Super Shock Shadows,Personal_Care,Makeup
KVD Vegan Beauty Lock-It Tattoo Foundation,Personal_Care,Makeup
Farsali Unicorn Essence,Personal_Care,Makeup
Urban Decay All Nighter Setting Spray,Personal_Care,Makeup
Bobbi Brown Shimmer Brick,Personal_Care,Makeup
Charlotte Tilbury Filmstar Bronze & Glow,Personal_Care,Makeup
Hourglass Ambient Lighting Powder,Personal_Care,Makeup
Stila Stay All Day Liquid Lipstick,Personal_Care,Makeup
L'Oreal Paris Infallible Pro-Matte Foundation,Personal_Care,Makeup
Yves Saint Laurent Touche Éclat Radiant Touch Concealer,Personal_Care,Makeup
Too Faced Born This Way Foundation,Personal_Care,Makeup
ABH Modern Renaissance Eyeshadow Palette,Personal_Care,Makeup
Benefit Gimme Brow,Personal_Care,Makeup
Buxom Full-On Lip Polish,Personal_Care,Makeup
Tom Ford Lip Color,Personal_Care,Makeup
Dior Diorshow Mascara,Personal_Care,Makeup
Tarte Amazonian Clay 12-Hour Blush,Personal_Care,Makeup
Fenty Beauty Gloss Bomb Universal Lip Luminizer,Personal_Care,Makeup
ColourPop No Filter Concealer,Personal_Care,Makeup
Anastasia Beverly Hills Modern Renaissance Eyeshadow Palette,Personal_Care,Makeup
Pat McGrath Labs MatteTrance Lipstick,Personal_Care,Makeup
Milk Makeup Blur Stick,Personal_Care,Makeup
